"method","lambda","final_elbo","n_iter","nu0","selected_L","causal_pip","top","top_alpha","seed","causal","sim_seconds","fit_seconds"
"relax",0.05,1625.78034750277,620,10,1,"0.008, 0.999","324, 325, 325, 325, 325","0.999, 0.002, 0.002, 0.002, 0.002",1,"139, 324",8.263,106.018
"collapse_shared",0.05,1624.66557899693,88,10,0,"0.023, 0.801","324, 304, 304, 304, 304","0.799, 0.002, 0.002, 0.002, 0.002",1,"139, 324",8.263,5.65899999999999
"relax",0.01,1737.9592653626,715,10,1,"0.950, 0.008","341, 341, 341, 341, 341","0.949, 0.002, 0.002, 0.002, 0.002",2,"341, 399",8.55100000000002,78.952
"collapse_shared",0.01,1739.49904966193,87,10,1,"0.312, 0.008","341, 373, 373, 373, 373","0.307, 0.002, 0.002, 0.002, 0.002",2,"341, 399",8.55100000000002,4.46199999999999
"relax",0.05,1854.64257402536,490,34.5382485219969,1,"0.008, 0.378","283, 283, 261, 283, 283","0.002, 0.002, 0.373, 0.002, 0.002",3,"51, 261",8.57599999999999,70.234
"collapse_shared",0.1,1861.20615556079,29,500,5,"0.000, 0.000","258, 283, 267, 293, 257","1.000, 0.998, 1.000, 0.998, 0.574",3,"51, 261",8.57599999999999,4.94499999999999
"relax",0.01,1815.3790605792,410,10,1,"0.008, 0.312","463, 468, 468, 468, 468","0.306, 0.002, 0.002, 0.002, 0.002",4,"75, 463",8.53399999999999,58.65
"collapse_shared",0.05,1820.72734676483,73,100,3,"0.006, 0.385","464, 468, 462, 75, 75","0.402, 1.000, 0.697, 0.003, 0.003",4,"75, 463",8.53399999999999,4.32999999999998
"relax",0.05,1680.26451337872,620,13.6186614251798,1,"0.008, 0.515","435, 320, 320, 320, 320","0.511, 0.002, 0.002, 0.002, 0.002",5,"322, 435",8.28899999999999,86.426
"collapse_shared",0.01,1687.7830474485,94,10,0,"0.017, 0.360","435, 496, 496, 496, 496","0.355, 0.002, 0.002, 0.002, 0.002",5,"322, 435",8.28899999999999,4.25800000000004
"relax",0.05,1909.38773605595,385,48.8411916115193,1,"0.008, 1.000","309, 363, 363, 363, 363","1.000, 0.002, 0.002, 0.002, 0.002",6,"33, 309",8.26999999999998,78.37
"collapse_shared",0.05,1908.29799286973,29,50,1,"0.009, 1.000","309, 363, 363, 363, 363","1.000, 0.003, 0.003, 0.003, 0.003",6,"33, 309",8.26999999999998,4.01599999999996
"relax",0.01,1783.5201207254,755,13.5274588567983,1,"0.008, 0.993","298, 323, 323, 323, 323","0.993, 0.002, 0.002, 0.002, 0.002",7,"32, 298",8.26800000000003,67.76
"collapse_shared",0.01,1781.28542838455,134,10,1,"0.008, 0.794","298, 327, 327, 327, 327","0.793, 0.002, 0.002, 0.002, 0.002",7,"32, 298",8.26800000000003,5.86200000000008
"relax",0.05,1769.91120294744,425,30.0211799797129,1,"1.000, 0.008","105, 98, 98, 98, 98","1.000, 0.002, 0.002, 0.002, 0.002",8,"105, 352",8.04000000000008,75.1410000000001
"collapse_shared",0.05,1768.19951844009,57,25,1,"1.000, 0.008","105, 98, 98, 98, 98","1.000, 0.002, 0.002, 0.002, 0.002",8,"105, 352",8.04000000000008,4.32299999999998
"relax",0.01,1861.66358243459,515,15.317897491901,1,"0.008, 0.540","287, 270, 270, 270, 270","0.536, 0.002, 0.002, 0.002, 0.002",9,"187, 287",8.16700000000003,64.8770000000001
"collapse_shared",0.01,1859.55711764247,89,10,1,"0.008, 0.320","287, 250, 250, 250, 250","0.315, 0.002, 0.002, 0.002, 0.002",9,"187, 287",8.16700000000003,3.4609999999999
"relax",0.05,1831.75300343517,490,28.8232109769462,1,"0.622, 0.008","39, 491, 491, 491, 491","0.619, 0.002, 0.002, 0.002, 0.002",10,"39, 491",8.19900000000007,74.788
"collapse_shared",0.05,1830.26425293866,49,25,1,"0.532, 0.008","39, 491, 491, 491, 491","0.528, 0.002, 0.002, 0.002, 0.002",10,"39, 491",8.19900000000007,3.50699999999995
"relax",0.1,1770.97577018883,430,57.9694997415509,1,"0.424, 0.008","162, 157, 157, 157, 157","0.419, 0.002, 0.002, 0.002, 0.002",11,"162, 250",8.178,87.028
"collapse_shared",0.05,1818.62195743349,96,500,5,"0.284, 0.000","161, 157, 158, 156, 155","0.716, 1.000, 0.500, 1.000, 1.000",11,"162, 250",8.178,7.72199999999998
